Tuesday,"['thứ ba', 'ngày thứ ba', 'thứ Ba', 'Thứ Ba']"
say,"['nói', 'bảo', 'tiên đoán', 'tuyên bố', 'thốt', 'nhủ', 'đồn', 'lấy', 'chọn', 'cho ý kiến về', 'diễn đạt', 'dịp nói', 'hay là', 'hứa hẹn', 'lời nói', 'nói lên', 'nói một cách khác', 'quyết định về', 'quyền ăn nói', 'tiếng nói', 'vải chéo', 'ít nhất thì', 'ăn nói', 'đưa làm chứng cớ', 'viết', 'xưng', 'noi', 'ngôn', 'nhắc lại', 'phát biểu', 'thốt ra']"
sparse,"['thưa thớt', 'rải rác', 'lèo tèo', 'lơ thơ', 'lẻ tẻ', 'sơ sài']"
sir,"['ngài', 'thưa ông', 'ông', 'bẩm', 'tiên sinh!', 'gọi bằng ngài', 'gọi bằng tiên sinh', 'gọi bằng ông', 'hoàng thượng', 'thưa thủ trưởng', 'đức', 'anh']"
superfluous,"['thừa', 'không cần thiết', 'dư', 'vô dụng', 'rườm', 'bằng thừa', 'dư thừa', 'vô ích']"
grace,"['sự gia hạn', 'thái độ', 'vẻ duyên dáng', 'ân', 'ngài', 'Ngài', 'duyên', 'ban vinh dự cho', 'kiều diễm', 'làm vinh dự', 'làm vẻ vang', 'lời cầu nguyện', 'sự chiếu cố', 'sự cho hoãn', 'sự khoan dung', 'sự khoan hồng', 'sự miễn xá', 'sự trọng đãi', 'thần Mỹ nữ', 'vẻ phong nhã', 'vẻ thanh nhã', 'vẻ uyển chuyển', 'vẻ yêu kiều', 'ân sủng', 'ơn Chúa', 'ơn huệ', 'ơn trời', 'ân điển']"
superfluous,"['thừa', 'không cần thiết', 'dư', 'vô dụng', 'rườm', 'bằng thừa', 'dư thừa', 'vô ích']"
execution,"['sự thực hiện', 'tử hình', 'sự biểu diễn', 'sự hành hình', 'sự hành quyết', 'sự thi hành', 'vụ hành quyết', 'sức phá hoại', 'sự chấp hành', 'sự thể hiện', 'sự thừa hành', 'thực hiện']"
inherited,['di truyền']
inherit,"['thừa kế', 'hưởng', 'thừa hưởng', 'kế thừa', 'là người thừa kế', 'thừa']"
order,"['trật tự', 'đặt', 'thứ', 'gọi', 'ra lệnh', 'thứ tự', 'lệnh', 'bộ', 'mệnh lệnh', 'cho', 'bậc', 'trình tự', 'mệnh', 'hàng', 'ngăn nắp', 'pháp lệnh', 'sự đặt hàng', 'thông tư', 'tầng lớp', 'lịnh', 'cấp', 'sai', 'khiến', 'loại', 'ngôi', 'đệ', 'bảo người hầu đưa', 'bội tinh', 'cho dùng', 'chế độ', 'chỉ dẫn', 'giai cấp', 'gọi món', 'hiệu lệnh', 'hạ lịnh', 'lớp lang', 'nội quy', 'phán bảo', 'phán truyền', 'ra lịnh', 'sai khiến', 'sắp đặt', 'thu xếp', 'thủ tục', 'thứ bậc', 'định đoạt', 'Cấp', 'đoàn', 'loài', 'chỉ thị', 'hạ lệnh', 'sắp xếp', 'sự sắp xếp', 'truyền lệnh', 'xuống lệnh', 'Đặt hàng', 'đơn hàng', 'đặt hàng']"
cover,"['nắp', 'bìa', 'che', 'phủ', 'vỏ', 'vung', 'bao phủ', 'che phủ', 'che đậy', 'bọc', 'trùm', 'lốt', 'màn che', 'mặt nạ', 'phong bì', 'trải ra', 'đi được', 'đủ để trả', 'đậy', 'giấu', 'che khuất', 'chỗ ẩn nấp', 'dávsv', 'giấu giếm', 'gồm', 'nhằm vào', 'nắp đậy', 'đưa tin', 'trải', 'áo', 'chụp', 'lợp', 'bưng', 'ấp', 'nhằm', 'nhẩy', 'bao bọc', 'bao gồm', 'bao hàm', 'bao quát', 'bao trùm', 'bìa sách', 'bảo vệ', 'bọc dây', 'bụi rậm', 'che chở', 'che giấu', 'che lấp', 'chĩa vào', 'chỗ núp', 'chỗ trú', 'chỗ trốn', 'cái bọc ngoài', 'cái chụp', 'cái nắp', 'ham muốn', 'khống chế', 'kiểm soát', 'lùm cây', 'mặc quần áo', 'phủ || cái phủ', 'tiền bảo chứng', 'trang trải', 'truyện ký', 'vỏ bọc', 'yểm hộ', 'đậy điệm', 'đội mũ', 'Phủ', 'ém', 'bảo hiểm']"
excess salary,['cannot found']
excess of destiny,['cannot found']
superfluous,"['thừa', 'không cần thiết', 'dư', 'vô dụng', 'rườm', 'bằng thừa', 'dư thừa', 'vô ích']"
admit,"['thừa nhận', 'thú nhận', 'cho vào', 'nhận', 'có', 'nạp', 'cho hưởng', 'chứa được', 'có chỗ cho', 'có đủ chỗ cho', 'dung nạp', 'kết nạp', 'nhìn nhận', 'nhận vào', 'nhận được']"
lineage,"['dòng dõi', 'dòng', 'dòng giống', 'nòi giống', 'thân', 'tông', 'Phật giáo hệ phả']"
bailiff,"['mõ tòa', 'nhân viên chấp hành', 'quan khâm sai', 'Thừa phát lại', 'thừa phát lại']"
factor,"['thừa số', 'nhân tố', 'yếu tố', 'nguyên nhân', 'tác nhân', 'hệ số', 'người quản lý', 'người đại diện', 'nhana tử', 'nhân số']"
overpowering,"['chế ngự', 'khuất phục', 'làm mê mẩn', 'áp dảo']"
redundant,"['thừa', 'dư', 'rườm', 'dôi', 'dư thừa', 'rườm rà', 'công nghệ thông tin', 'thất nghiệp']"
excessive,"['quá mức', 'quá đáng', 'quá', 'dư thừa', 'quá thể', 'thừa', 'cuồng nhiệt', 'quá lời', 'quá quắt', 'quá độ', 'thái quá', 'thừa thãi']"
superfluous,"['thừa', 'không cần thiết', 'dư', 'vô dụng', 'rườm', 'bằng thừa', 'dư thừa', 'vô ích']"
redundant,"['thừa', 'dư', 'rườm', 'dôi', 'dư thừa', 'rườm rà', 'công nghệ thông tin', 'thất nghiệp']"
superfluous,"['thừa', 'không cần thiết', 'dư', 'vô dụng', 'rườm', 'bằng thừa', 'dư thừa', 'vô ích']"
heirs,['cannot found']
Prime Minister,['cannot found']
I love it,['cannot found']
excess,"['số dôi', 'số lượng vượt quá', 'sự quá mức', 'thừa', 'dư thừa', 'dộ nhọn', 'quá mức qui định', 'quá độ', 'số lượng hơn', 'sự dư thừa', 'sự hơn', 'sự làm quá đáng', 'sự thừa mứa', 'sự vượt', 'thừa ra', 'độ dôi', 'dư']"
parcel,"['gói', 'bưu kiện', 'kiện', 'phần', 'lô', 'lũ', 'bầy', 'bọn', 'chia thành từng phần', 'chuyển hàng', 'miếng đất', 'mảnh đất', 'phần nào']"
awake,"['thức dậy', 'thức', 'dậy lên', 'dậy', 'gợi', 'tỉnh ngủ', 'tỉnh táo', 'gây lên', 'đánh thức', 'khêu gợi', 'làm thức dậy', 'làm thức tỉnh', 'làm tỉnh ngộ', 'nhận thức ra', 'thức tỉnh', 'tỉnh ngộ', 'cách phát âm', 'thức giấc']"
food,"['thức ăn', 'đồ ăn', 'thực phẩm', 'lương thực', 'cơm nước', 'dinh dưỡng', 'món ăn', 'lương']"
wake up,['cannot found']
fake wake,['cannot found']
wake up,['cannot found']
wake up reminder,['cannot found']
wake up time,['cannot found']
awake,"['thức dậy', 'thức', 'dậy lên', 'dậy', 'gợi', 'tỉnh ngủ', 'tỉnh táo', 'gây lên', 'đánh thức', 'khêu gợi', 'làm thức dậy', 'làm thức tỉnh', 'làm tỉnh ngộ', 'nhận thức ra', 'thức tỉnh', 'tỉnh ngộ', 'cách phát âm', 'thức giấc']"
awake,"['thức dậy', 'thức', 'dậy lên', 'dậy', 'gợi', 'tỉnh ngủ', 'tỉnh táo', 'gây lên', 'đánh thức', 'khêu gợi', 'làm thức dậy', 'làm thức tỉnh', 'làm tỉnh ngộ', 'nhận thức ra', 'thức tỉnh', 'tỉnh ngộ', 'cách phát âm', 'thức giấc']"
real,"['thật', 'thực', 'thiệt', 'thực tế', 'chân thật', 'chính hiệu', 'có thật', 'hiện thực', 'xác thực', 'đích thực', 'chân', 'lớn', 'có thực', 'thực sự']"
real belly,['cannot found']
actually,"['thực sự', 'quả là', 'quả thật', 'thực ra', 'đúng', 'hoàn toàn', 'kể ra', 'thật ra', 'hiện nay', 'hiện thời', 'hiện tại', 'quả thực', 'quả tình', 'thật sự', 'thực tế']"
actually spent,['cannot found']
colonial,"['thực dân', 'thuộc địa', 'tên thực dân']"
colonialists,['cannot found']
Practical,"['thiết thực', 'thực dụng', 'thực tế', 'thông minh', 'thực hành', 'thực tiễn', 'tiện lợi', 'có ích', 'thằng bờm', 'trên thực tế', 'đang hành nghề', 'đang làm', 'đang thực hành']"
menu,"['thực đơn', 'menu', 'bảng kê món ăn', 'trình đơn', 'bảng chọn', 'danh mục', 'Thực đơn']"
practice,"['luyện tập', 'sự hành nghề', 'thói quen', 'thực hành', 'thực tiễn', 'tập', 'luyện', 'thói', 'thông lệ', 'tục', 'practise', 'khách hàng', 'lề thói', 'lệ thường', 'mưu đồ', 'phòng khám bệnh', 'phòng luật sư', 'sự luyện tập', 'sự rèn luyện', 'thủ tục', 'thủ đoạn', 'thực tập', 'thực tế', 'tục lệ', 'âm mưu']"
perform,"['biểu diễn', 'thực hiện', 'làm', 'diễn', 'đóng', 'biểu diển', 'diễn tấu', 'diễn xuất', 'trình bày', 'trình diễn', 'đóng một vai', 'thöïc hieän, thi haønh', 'tiến hành', 'từ điển đồng nghĩa, gần nghĩa']"
realism,"['chủ nghĩa hiện thực', 'thuyết duy thực', 'Chủ nghĩa hiện thực']"
truth,"['chân lý', 'sự thật', '真理', 'chân lí', 'lẽ thật', 'thật', 'chân xác', 'lòng chân thật', 'lẽ phải', 'sự chính xác', 'sự lắp đúng', 'sự đúng đắn', 'tính thật thà', 'Chân lý', 'sự thực']"
honestly,"['thành thật', 'chân thật', 'lương thiện', 'một cách lương thiện', 'trung thực']"
real continent,['cannot found']
real capacity,['cannot found']
experiment,"['thí nghiệm', 'cuộc thí nghiệm', 'thử', 'cuộc thử nghiệm', 'khảo nghiệm', 'sự thí nghiệm', 'sự thử', 'thử nghiệm', 'thực nghiệm', 'thí', 'Thí nghiệm']"
industrial,"['công nghiệp', 'kỹ nghệ']"
food,"['thức ăn', 'đồ ăn', 'thực phẩm', 'lương thực', 'cơm nước', 'dinh dưỡng', 'món ăn', 'lương']"
Esophageal,['cannot found']
real right,['cannot found']
actually,"['thực sự', 'quả là', 'quả thật', 'thực ra', 'đúng', 'hoàn toàn', 'kể ra', 'thật ra', 'hiện nay', 'hiện thời', 'hiện tại', 'quả thực', 'quả tình', 'thật sự', 'thực tế']"
real food,['cannot found']
really,"['thật', 'thật sự', 'thực', 'quả là', 'thật sao?', 'thế à?', 'thực sự', 'vậy à?', 'thật là', 'thật sự là', 'thực ra', 'rất', 'quả thật', 'quả thực', 'quả tình', 'thực tế', 'thực vậy', 'vậy hả']"
real talent,['cannot found']
reality,"['thực tế', 'thực tại', 'hiện thực', 'sự thực', 'sự vật có thực', 'thực tiễn', 'tính chất chính xác', 'tính chất xác thực', 'tính chất đúng', 'điều có thật', 'đời thật', 'có thật']"
real hands,['cannot found']
sincere heart,['cannot found']
internship,"['cương vị giáo sinh', 'Thực tập', 'thời gian thực tập']"
reality,"['thực tế', 'thực tại', 'hiện thực', 'sự thực', 'sự vật có thực', 'thực tiễn', 'tính chất chính xác', 'tính chất xác thực', 'tính chất đúng', 'điều có thật', 'đời thật', 'có thật']"
honest,"['lương thiện', 'trung thực', 'thật', 'thành thật', 'chính', 'chân', 'chân thực', 'chính trực', 'liêm chính', 'thanh liêm', 'thiện lương', 'tốt', 'chân thật', 'chính đáng', 'không giả mạo', 'liêm khiết', 'ngay thật', 'ngay thẳng', 'thật thà', 'xứng đáng', 'thực', 'liêm']"
entity,"['thực thể', 'đối tượng', 'bản thể', 'sự tồn tại', 'vật thể', 'đối thể']"
real money,['cannot found']
real,"['thật', 'thực', 'thiệt', 'thực tế', 'chân thật', 'chính hiệu', 'có thật', 'hiện thực', 'xác thực', 'đích thực', 'chân', 'lớn', 'có thực', 'thực sự']"
Practice,"['luyện tập', 'sự hành nghề', 'thói quen', 'thực hành', 'thực tiễn', 'tập', 'luyện', 'thói', 'thông lệ', 'tục', 'practise', 'khách hàng', 'lề thói', 'lệ thường', 'mưu đồ', 'phòng khám bệnh', 'phòng luật sư', 'sự luyện tập', 'sự rèn luyện', 'thủ tục', 'thủ đoạn', 'thực tập', 'thực tế', 'tục lệ', 'âm mưu']"
really,"['thật', 'thật sự', 'thực', 'quả là', 'thật sao?', 'thế à?', 'thực sự', 'vậy à?', 'thật là', 'thật sự là', 'thực ra', 'rất', 'quả thật', 'quả thực', 'quả tình', 'thực tế', 'thực vậy', 'vậy hả']"
reality,"['thực tế', 'thực tại', 'hiện thực', 'sự thực', 'sự vật có thực', 'thực tiễn', 'tính chất chính xác', 'tính chất xác thực', 'tính chất đúng', 'điều có thật', 'đời thật', 'có thật']"
real word,['cannot found']
plant,"['thực vật', 'cây', 'trồng', 'nhà máy', 'cắm', 'gieo', 'gài', 'thiết bị', 'đặt', 'cài', 'chôn', 'cây cối', 'cơ xưởng', 'ném', 'đứng vững', 'giấu', 'giồng', 'cặm', 'giáng', 'thả', 'bắn', 'bỏ rơi', 'dáng đứng', 'máy móc', 'người gài vào', 'oa trữ', 'sự mọc', 'thiết lập', 'thành lập', 'thế đứng', 'vật gài bí mật', 'đóng chặt xuống', 'thực', 'xưởng', 'gỗ']"
plant lice,['cannot found']
botany,"['thực vật học', '植物學']"
common,"['thường', 'chung', 'thông thường', 'bình thường', 'phổ biến', 'công', 'cộng đồng', 'loàng xoàng', 'thường thấy', 'phổ thông', 'tập thể', 'thông dụng', 'tầm thường', 'thuờng', 'bình dân', 'công cộng', 'của chung', 'dân chúng', 'những người bình dân', 'sự chung', 'thô tục', 'thường gặp', 'đất công']"
rope,"['dây', 'trói', 'dây chão', 'thừng', 'dây thừng', 'buộc', 'chão', 'xâu', 'chuỗi', 'kìm', 'dây lây nhây', 'sợi dây', 'Dây thừng']"
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
tape measure,['cannot found']
tape measure,['cannot found']
protractors,['cannot found']
folding ruler,['cannot found']
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
cube ruler,['cannot found']
armpit ruler,['cannot found']
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
western ruler,['cannot found']
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
ruler,"['thước', 'thước kẻ', 'cái thước kẻ', 'vua', 'chúa', 'bá chủ', 'máy kẻ giấy', 'người cai trị', 'người chuyên quyền', 'người thống trị', 'thợ kẻ giấy', 'Thước', 'vương', '王', 'cây thước']"
square feet,['cannot found']
medicine,"['thuốc', 'y học', 'y khoa', 'khoa nội', 'dược', 'liều thuốc', 'ngành dược', 'y thuật', 'thuộc', 'bùa ngải', 'dược liệu', 'phép ma', 'yêu thuật', 'dược phẩm']"
slouchy,"['luộm thuộm', 'thường thượt', 'vai thõng xuống']"
relax,"['giải trí', 'thư giãn', 'giãn', 'nới lỏng', 'giải', 'buông lỏng', 'bớt căng thẳng', 'chùng ra', 'dịu đi', 'giân ra', 'giảm bớt', 'giảm nhẹ', 'hàm bé', 'hàm yếu', 'làm bớt căng thẳng', 'làm cho dễ chịu', 'làm chùng', 'làm dịu đi', 'làm giãn ra', 'làm suy nhược', 'làm yếu đi', 'lơi ra', 'lỏng ra', 'nghỉ ngơi', 'nguôi đi']"
merchant,"['thương gia', 'lái buôn', 'nhà buôn', 'buôn', 'buôn bán', 'Thương gia', 'thương nhân']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
veterans,['cannot found']
Compassionate,"['động lòng thương', 'thương hại', 'thương xót', 'động lòng trắc ẩn', 'nhân từ', 'đồng cảm', 'bất nhẫn', 'có nhân', 'nhân ái', 'từ bi']"
commercial port,['cannot found']
commercial war,['cannot found']
main spear,['cannot found']
injury department,['cannot found']
whore,"['gái điếm', 'đĩ', 'chi gái', 'con điếm', 'con đĩ', 'làm đĩ', 'm i dâm', 'đĩ điếm', 'đi']"
trade union,['cannot found']
trader,"['nhà buôn', 'thương gia', 'tàu buôn', 'thương nhân', 'Thương nhân tài chính', 'thương thuyền']"
merchant world,['cannot found']
commercial setang Dien,['cannot found']
compassion,"['lòng thương', 'lòng trắc ẩn', 'trắc ẩn', 'từ bi']"
typhoid,['bệnh thương hàn']
firm,"['hãng', 'chắc', 'vững chắc', 'vững', 'rắn chắc', 'công ty', 'mạnh mẽ', 'vững vàng', 'bền bỉ', 'bền chắc', 'cương nghị', 'cứng', 'cứng rắn', 'nhất định', 'rắn', 'rắn rỏi', 'xưởng', 'bền', 'nền', 'sắt', 'bền vững', 'chắc chắn', 'chắc nịch', 'cương quyết', 'cả quyết', 'cứng cỏi', 'hàng buôn // rắn', 'không chùn bước', 'kiên chí', 'kiên quyết', 'kiên định', 'làm cho chắc chắn', 'làm cho vững vàng', 'trung kiên', 'trung thành', 'trở nên rắn chắc', 'trở nên vững chắc', 'ổn định', 'không thay đổi', 'vững chãi', 'vững vàng.', 'xác định']"
dear customer,['cannot found']
trade mouth,['cannot found']
negotiate,"['thương lượng', 'đàm phán', 'dàn xếp', 'hiệp thương', 'trả bằng tiền', 'vượt qua được', 'điều đình', 'đổi thành tiền']"
Commerce,"['Thương Mại', 'doanh thương', 'mậu dịch', 'sự buôn bán', 'sự giao cấu', 'sự giao thiệp', 'sự quan hệ']"
commercial bank,['cannot found']
counsel,"['lời khuyên', 'luật sư', 'khuyên lơn', 'người cố vấn', 'chỉ bảo', 'chỉ giáo', 'dặn bảo', 'dự định', 'khuyên bảo', 'khuyên răn', 'lời chỉ bảo', 'nhóm luật sư', 'sự bàn bạc', 'sự hỏi ý kiến', 'ý định']"
commercial,"['thương mại', 'giới thiệu', 'người chào hàng', 'quảng cáo', 'thương nghiệp', 'có tính thương mại', 'đánh dấu trọng âm']"
miss you,['cannot found']
dear,"['đắt', 'đắt tiền', 'thân', 'thân mến', 'đắt đỏ', 'thưa', 'kính thưa', 'thân yêu', 'đáng yêu', 'hỡi', 'chân tình', 'quý mến', 'than ôi', 'thiết tha', 'thân ái', 'thương mến', 'trời ơi', 'yêu dấu', 'yêu mến', 'yêu quý', 'đáng mến', 'kính gừi', 'người yêu quý']"
commodity,"['hàng hóa', 'hàng hoá', 'thương phẩm', '商品', 'loại hàng', 'mặt hàng', 'tiện nghi', 'Hàng hóa toàn cầu']"
wounded birth,['cannot found']
quotient,"['thương', 'thương số', 'số thương']"
Colonel,"['đại tá', 'thượng tá', 'Đại tá']"
pitiful,"['không đáng kể', 'nhỏ mọn', 'thương hại', 'thương tâm', 'thương xót', 'thảm thương', 'đáng khinh', 'đáng thương hại', 'đầy lòng trắc ẩn', 'nhỏ']"
merchant,"['thương gia', 'lái buôn', 'nhà buôn', 'buôn', 'buôn bán', 'Thương gia', 'thương nhân']"
negotiation,"['sự dàn xếp', 'sự thương lượng', 'sự trả bằng tiền', 'sự vượt qua', 'sự điều đình', 'sự đàm phán', 'sự đổi lấy tiền', 'sự đổi thành tiền', 'đàm phán', 'cuộc thương thuyết', 'việc đàm phán', 'đối thoại']"
real love,['cannot found']
hurt,"['đau', 'xúc phạm', 'chạm', 'nhức', 'đầu', 'bị đau', 'làm bị thương', 'làm đau', 'tổn thương', 'vết thương', 'lao', 'bị tổn hại', 'bị tổn thương', 'bị xúc phạm', 'chỗ bị đau', 'gây thiệt hại', 'gây tác hại', 'làm hư', 'làm hỏng', 'làm tổn thương', 'sự chạm đến', 'sự làm tổn thương', 'sự xúc phạm', 'tai hại', 'thương tổn', 'tổn hại', 'điều hại', 'sát', 'bị thương', 'làm hại', 'đau đớn']"
mourn,"['thương tiếc', 'than khóc', 'khóc', 'thương xót', 'xót xa', 'để tang', 'tang']"
love,"['yêu', 'tình yêu', 'người yêu', 'cưng', 'không', 'ái tình', 'lãng mạn', 'mối tình', 'thương', 'Hàn Quốc', 'Hồng Đoan', 'hóa đá', 'người', 'sự yêu thích', 'trái tim', 'trái tim hóa đá', 'tình', 'yêu thích', 'yêu thương, mến, tình yêu', 'Đồng Tháp', 'thích', 'vật đáng yêu', 'mến', 'mợ', 'bể ái', 'bố già', 'diễm tình', 'luyến ái', 'lòng yêu', 'người tình', 'người đáng yêu', 'thần ái tình', 'tình thương', 'yêu mến', 'yêu đương', 'ưa thích', 'luyến', 'say mê', 'tiếng Thái Lan']"
