ấn hành,publish
ấn loát,press
ấn quán,printing office
ấn tín,seal
ấn tượng,impressive
ấp,hamlet
ấp ủ,cherished
ập,hit
âu,European
âu phục,uniform
âu sầu,sad
âu yếm,cuddle
ẩu,reckless
ẩu đả,affray
ấu,a little
ấu trĩ,childish
ấu trùng,larval
ấy,that
ba,ba
ba ba,equip
ba bó một giạ,three bundles
ba chân bốn cẳng,Three legs and four legs
ba chìm bảy nổi,Three seven floating
ba đào,Ba Dao
ba gai,ba gai
ba hoa,Ba friend
ba láp,trivia
ba lăng nhăng,Three promiscuous
ba lê,ba lê
ba lô,backpack
ba phải,Dad right
ba quân,troops
ba que,ba what
ba rọi,bacon
ba sinh,three -born
ba trợn,Three rolls
bà,grandma
bà chủ,mistress
bà con,cousin
bà đỡ,midwife
bà phước,deaconess
bà vãi,nun
bả,bait
bả vai,shoulder
bã,residue
bá,hegemony
bá cáo,premise
bá chủ,suzerain
bá hộ,tinny
bá láp,frivolous
bá quan,hegemony
bá quyền,hegemony
bá tánh,hegemony
bá tước,Earl
bá vương,hegemony
bạ,you
bác,Aunt
bác ái,rare
bác cổ,Uncle Co
bác học,learned
bác sĩ,doctor
bác vật,uncle
bạc,the silver
bạc ác,wicked
bạc hà,Mint
bạc hạnh,Silver Hanh
bạc nghĩa,silver
bạc nhạc,silver music
bạc nhược,feeble
bạc phận,fate
bạc tình,silver love
bách,bachelor
bách bộ,bachelor
bách hợp,Lis
bách khoa,Encyclopedia
bách nghệ,basket
bách niên giai lão,centenaries during aging
bách phân,bachelor
bách thảo,Botanical
bách thú,beast
bách tính,encrocion
bạch,White
bạch cầu,leukemia
bạch cúc,Bach Cuc
bạch cung,white palace
bạch dương,Aries
bạch đàn,Eucalyptus
bạch đinh,nail
bạch huyết,lymph
bạch kim,platinum
bạch lạp,white
bạch ngọc,White gem
bạch tuộc,octopus
bạch tuyết,Snow White
bạch yến,Bach Yen
bài,post
bài bác,denounce
bài học,lesson
bài làm,assignment
bài thơ,poem
bài tiết,excrete
bài vị,tablet
bài xích,chain
bãi,beach
bãi bỏ,rejected
bãi chức,resignation
bãi cỏ,grass
bãi công,strike
bãi nại,dismissed
bãi tha ma,graveyard
bãi trường,field
bái,worship
bái biệt,apart
bái phục,admire
bái tạ,apart
bái yết,worship
bại,lose
bại hoại,ruined
bại lộ,exposed
bại sản,defeat
bại trận,lose
bại vong,defeat
bám,cling
ban,ban
ban ân,Grace
ban bố,promulgate
ban công,balcony
ban đầu,initial
ban đêm,night
ban hành,promulgate
ban khen,compliment
ban ngày,daytime
ban phát,committee
ban thưởng,reward
bàn,table
bàn bạc,discussion
bàn cãi,debate
bàn chải,brush
bàn cờ,chessboard
bàn giao,hand over
bàn mổ,operating table
bàn tán,discussed
bàn tay,hand
bàn thờ,altar
bàn tính,discuss
bàn tọa,table
bản,copy
bản án,judgment
bản chất,nature
bản đồ,map
bản lề,hinge
bản năng,instinct
bản ngã,ego
bản quyền,license
bản sao,copy
bản sắc,identity
bản thảo,draft
bản tính,nature
bản vị,tablet
bản xứ,native
bán,sell
bán buôn,Wholesale
bán cầu,hemisphere
bán chịu,credit
bán dạo,sell
bán đảo,Peninsula
bán kết,semifinal
bán khai,sell
bán kính,radius
bán lẻ,retail
bán nguyệt,semicircle
bán nguyệt san,semicircular
bán niên,sell
bán thân,bust
bán tín bán nghi,sell
bán tự động,semi -automatic
bạn,friend
bạn đọc,you read
bạn đời,best friend forever
bạn học,classmate
bạn lòng,You love
bạn thân,best friend
bang,bang
bang giao,relations
bang trợ,state
bang trưởng,chief
bàng,eagle
bàng hoàng,shocked
bàng quan,indifference
bàng thính,hearing
bảng,board
bảng danh dự,honorable table
bảng đen,blackboard
bảng hiệu,sign
báng,bang
báng bổ,blaspheme
banh,banh
bành,pluck
bành trướng,expand
bảnh,charming
bảnh bao,dashing
bánh,cake
bánh bao,dumplings
bánh lái,helm
bánh mì,bread
bánh tráng,ricepaper
bao,bao
bao bì,package
bao biện,excuse
bao bọc,cover
bao dung,generous
bao giờ,when
bao gồm,consists of
bao hàm,include
bao la,bao la
bao lơn,balance
bao nhiêu,how much
bao tay,glove
bao thơ,envelope
bao tử,stomach
bao vây,surround
bào,mitam
bào chế,preparatory
bào chữa,cure
bào thai,fetal
bảo,tell
bảo an,Bao An
bảo chứng,guarantee
bảo đảm,guaranteed
bảo hiểm,insurance
bảo hòa,saturated
bảo hộ,protection
bảo mật,security
bảo quản,preserve
bảo tàng,Museum
bảo thủ,conservative
bảo trợ,patronize
bảo vệ,guard
bão,storm
bão tuyết,snow storm
báo,newspaper
báo cáo,report
báo chí,newspapers
báo động,alarm
báo hiếu,piety
báo hiệu,signal
báo hỷ,Hy report
báo oán,revenge
báo ơn,grateful
báo thức,Alarm
báo ứng,response
bạo,violent
bạo bệnh,illness
bạo chúa,despot
bạo động,violent
bạo hành,abuse
bạo lực,violent
bạo ngược,tyrant
bạo phát,violent
bát,bowl
bát âm,bowl
bát hương,incense bowl
bát ngát,bowl
bát nháo,bowl
bạt,canvas
bạt mạng,network
bạt ngàn,immense
bàu,Bau
báu vật,treasure
bay,bay
bay bướm,butterfly
bay hơi,evaporation
bay nhảy,fly
bày,display
bày biện,furnished
bày đặt,set
bày tỏ,expressed
bảy,seven
bắc,north
bắc bán cầu,Northern Hemisphere
bắc cực,North Pole
băm,haveh
bặm,pale
băn khoăn,consufused
bắn,shoot
bắn tin,shot
băng,ice
băng bó,bandage
băng ca,Stretcher
băng điểm,tape
băng hà,die
băng huyết,haemorrhage
băng sơn,Berg
bằng,plain
bằng an,by an
bằng chứng,evidence
bằng hữu,friends
bằng lòng,consent
bẵng,bow
bắp,corn
bắp cải,cabbage
bắp chân,calf
bắp đùi,thigh
bắt,start
bắt bẻ,cruise
bắt bí,catch
bắt bớ,arrests
bắt buộc,Obligatory
bắt chước,copy
bắt cóc,kidnap
bắt đầu,begin
bắt giam,arrest
bắt nạt,bully
bắt phạt,fine
bắt rễ,root
bắt tay,shake hands
bắt vạ,catch
bặt,pitch
bặt tăm,tip
bặt thiệp,greeting
bấc,wick
bậc,step
bầm,mother
bẩm,congenital
bẩm sinh,natural
bẩm tính,congenital
bấm,press
bấm bụng,click
bần,poor
bần cùng,poor
bần thần,dodic
bần tiện,so poor
bẩn,dirty
bấn,pungent
bận,busy
bận lòng,worry
bâng khuâng,conceptualist
bâng quơ,wobbly
bấp bênh,precarious
bập bẹ,Babbling
bập bềnh,flickering
bất,disbelief
bất bạo động,nonvalant
bất biến,invariant
bất bình,discontent
bất chính,unrighteous
bất công,unjust
bất diệt,everlasting
bất đắc chí,unwavering
bất đắc dĩ,begrudge
bất định,uncertainty
bất đồng,divergent
bất động,motionless
bất hạnh,unfortunate
bất hảo,rogue
bất hòa,discord
bất hợp pháp,illegal
bất hủ,immortalize
bất khuất,Indomitable
bất lợi,disadvantage
bất lực,impotent
bất lương,unprincipled
bất ngờ,surprise
bất nhân,inhuman
bất tiện,inconvenient
bất tỉnh,fainting
bất trắc,unpredictability
bất tường,ominous
bật,tough
bật lửa,lighter
bâu,bail
bầu,elected
bầu trời,sky
bấu,grip
bây,you
bây bẩy,Seven
bây giờ,now
bầy,herd
bầy hầy,flock
bẩy,trap
bẫy,trap
bấy lâu,for a long time
bậy,nonsense
be,be
be be,be be
bè,well
bẻ,break
bẽ,grill
bẽ bàng,humiliating
bé,little
bé tí,tiny
bẹ,itch
bẻm,rambling
bèn,Then then
bẽn lẽn,bashful
bén,sharp
bén mảng,sharp
bén mùi,smell
bẹn,groin
beo,beo
bèo,duckweed
bèo bọt,duckweed
béo,fat
béo bở,fat
bép xép,pit
bẹp,cram
bét,batty
bét nhè,babble
bê,without
bê tha,negligent
bê trễ,The calf is late
bề,surface
bề bộn,chaotic
bề thế,superficial
bề trên,higher
bể,bellows
bể bơi,pool
bể dâu,tank
bễ,Bet
bế,closing
bế mạc,close
bế tắc,deadlock
bệ,pedestal
bệ hạ,King
bệ rạc,platform
bệ vệ,imposing
bệch,grocery
bên,beside
bên bị,party
bên nguyên,beside
bền,durable
bền chí,persist
bền vững,lasting
bến đò,ferry
bến tàu,Pier
bến xe,bus station
bện,braided
bênh,defendant
bênh vực,advocate
bềnh bồng,superficial
bếp,a kitchen
bếp núc,Kitchen
bết,Abed
bệt,flat
bêu,pub
bêu xấu,pillory
bệu,platform
bi,bi
bi ai,BI AI
bi ca,with ca
bi đát,dramatic
bi kịch,tragedy
bi quan,bi quan
bi tráng,dramatic
bì,pack
bì bõm,Shell
bỉ,Belgium
bỉ mặt,Belgium face
bí,pumpkin
bí ẩn,secret
bí quyết,secret
bí thư,Secretary
bị,bag
bị chú,uncle
bị động,passive
bị thịt,Be flesh
bị thương,injured
bia,bia
bia miệng,stele
bìa,cover
bịa,Come
bích ngọc,Sapphire
bịch,bag
biếc,puffy
biếm,sarcasm
biếm họa,caricature
biên,record
biên bản,report
biên giới,border
biên lai,receipt
biên tập,Editor
biền biệt,galaxy
biển,sea
biển lận,Miserere
biển thủ,embezzle
biến,variable
biến chất,degenerate
biến chứng,symptoms
biến cố,incident
biến động,fluctuation
biến thể,variant
biến thiên,variability
biện bạch,argument
biện chứng,dialectic
biện hộ,advocate
biện minh,justification
biện pháp,measure
biếng,lazy
biếng nhác,slothful
biết,know
biết ơn,grateful
biết ý,mean
biệt,distinctive
biệt danh,nickname
biệt hiệu,nickname
biệt kích,commando
biệt tài,talent
biệt thự,Villa
biệt xứ,separate
biểu,expression
biểu diễn,performances
biểu hiện,expression
biểu lộ,Express
biểu ngữ,Banners
biểu quyết,voting
biểu tình,protest
biếu,pay tribute
bìm bìm,bamboo
bịn rịn,wanna cry
binh,binh
binh bị,soldier
binh biến,mutate
binh chủng,army
binh lực,army
binh pháp,tactic
binh sĩ,soldier
binh xưởng,military workshop
bình,jar
bình an,peace
bình dân,affordable
bình đẳng,Equality
bình định,pacify
bình luận,comment
bình minh,Dawn
bình nguyên,Binh Nguyen
bình phục,recover
bình thản,ease
bình thường,normal
bình tĩnh,Calm
bỉnh bút,pen
bịnh,sick
bịp,bluff
bít,clog
bít tất,sock
bịt,clogged
bịt bùng,masked
bìu,scrotum
bìu dái,scrotum
bĩu môi,mow
bíu,parchment
bò,cow
bò cạp,scorpion
bò sát,reptile
bỏ,cancel
bỏ bê,neglect
bỏ dở,abandon
bỏ hoang,uninhibited
bỏ lỡ,miss
bỏ phiếu,vote
bỏ tù,jail
bõ,loose
bõ công,deacon
bó,bunch of
bó buộc,binding
bó gối,pillow
bó thân,bundle
bọ,cover
bọ chét,vermin
bọ hung,maybug
bọ ngựa,Mantis
bọ rầy,chafer
bóc,peel
bóc lột,exploitation
bọc,wrap
bói,fortune telling
bói cá,Kingfisher
bom,bom
bom đạn,bomber
bom hóa học,chemical bomb
bom khinh khí,bomb
bom nguyên tử,atom bomb
bỏm bẻm,remove
bõm,bath
bon bon,candy
bòn,maid
bòn mót,crisp
bón,fertilize
bọn,rogue
bong,bong
bong bóng,balloons
bong gân,sprain
bòng,storm
bóng,shadow
bóng bảy,ornate
bóng cá,fish ball
bóng dáng,silhouette
bóng đèn,light bulb
bóng gió,hint
bóng loáng,polished
bóng trăng,moon
bọng đái,bladder
boong,boong
bóp,squeeze
bóp còi,horn
bóp nghẹt,clogged
bót,patch
bọt,foam
bọt biển,sponges
bô,baby pot
bô lão,piano
bồ,cow
bồ câu,dove
bồ hóng,soot
bồ liễu,willow
bồ nhìn,Bodhisattva
bổ,Cut
bổ dưỡng,nutritious
bổ ích,useful
bổ nhiệm,appoint
bổ sung,additional
bố,Father
bố cáo,publish
bố cục,layout
bố mẹ,parents
bố trí,arrange
bộ,the set
bộ chỉ huy,Headquarters
bộ dạng,form
bộ điệu,pose
bộ đồ,suit
bộ đội,soldier
bộ hạ,creature
bộ hành,pedestrian
bộ lạc,tribe
bộ máy,apparatus
bộ mặt,face
bộ phận,part
bốc,cure
bốc cháy,burn
bốc hơi,vaporize
bốc thuốc,cigarette
bộc lộ,reveal
bộc phát,outbreak
bôi,apply
bôi trơn,Lubrication
bồi,compensate
bồi dưỡng,fostering
bồi hồi,nervous
bồi thường,indemnify
bổi,lavish
bối rối,confused
bội,multiple
bội bạc,treachery
bội phản,counterpart
bội tín,abundant
bôm,bom
bôn ba,traveled
bồn,tank
bồn chồn,jitter
bổn phận,duty
bốn,four
bốn phương,Four directions
bộn,tnn
bông,cotton
bông đùa,joke
bông lông,cotton
bông lơn,facetiousness
bồng,bold
bồng bột,elated
bồng lai,Bong Lai
bổng,site
bổng lộc,perquisites
bỗng,suddenly
bốp,daop
bộp chộp,grab
bột,flour
bột phát,flour
bơ,butter
bơ phờ,blowzy
bơ vơ,derelict
bờ,edge
bờ bến,boundless
bờ đê,dike
bở,fraudulent
bỡ ngỡ,Surprised
bợ,flutter
bơi,swim
bơi ngửa,backstroke
bởi,by
bởi thế,therefore
bới,dig
bơm,pump
bờm,mane
bờm xờm,hairy
bợm,babble
bỡn cợt,josh
bớt,remove
bu,this
bù,compensate
bú,suck
bú dù,suck
bụ,is
bùa,amulet
bùa yêu,Love Charms
búa,reside
bục,podium
bùi,Bui
bùi ngùi,feelingly
bùi nhùi,Bui Bui
bụi,dust
bụi bặm,dust
bùn,mud
bủn rủn,weaken
bủn xỉn,stingy
bún,rice noodle
bung xung,figurehead
bùng nổ,boom
bủng,grace
búng,flick
bụng,belly
bụng nhụng,abdominal
buộc,tie
buộc tội,accusation
buổi,session
buồm,sail
buôn,merchant
buôn lậu,smuggle
buồn,sad
buồn bực,boring
buồn cười,funny
buồn rầu,sad
buồn thảm,sad
buông,let go of
buông tha,disengage
buồng,room
buồng the,The chamber
buồng trứng,ovary
buốt,keen
buột,leaky
buột miệng,blurting
búp,bud
búp bê,Dolly
bút,pen
bút pháp,style
bụt,hibble
bự,big
bừa,indiscriminate
bừa bãi,indiscriminate
bửa,snack
bữa,meal
bựa,plump
bức,pervasive
bức bách,pressing
bực bội,upset
bực tức,angry
bưng,carry
bưng bít,secrecy
bừng,flush
bứng,lift
bước,step
bước đường,step
bước ngoặt,turning point
bước tiến,step forward
bươi,grub
bưởi,grapefruit
bươm bướm,Butterfly
bướng,stubborn
bươu,deer
bướu,tumor
bướu cổ,goiter
bứt,chirping
bứt rứt,confuse
bưu chính,Postal
bưu cục,post offices
bưu điện,post office
bưu kiện,parcel
bưu phí,postage
bưu tá,postman
bưu thiếp,postcard
ca,ca
ca cao,cocoa
ca dao,Ca gave
ca khúc,song
ca kịch,Opera
ca kỹ,skill
ca lô,cave
ca ngợi,praise
ca nhạc,Music
ca nô,Canoe
ca ri,as ri
ca trù,CA Tru
ca tụng,praise
ca vũ,Ca Vu
cà,tomato
cà chua,tomato
cà độc dược,Poison
cà kheo,stilts
cà khịa,Trolling
cà lăm,bamboo
cà nhắc,limp
cà phê,the coffee
cà rá,ring
cà rem,rowing
cà sa,than sa
cà vạt,tie
cả,chief
cả gan,dare
cả nể,both respectful
cả quyết,decisive
cả thảy,all
cá,fish
cá biệt,individual
cá bống,gobies
cá chép,carp
cá đuối,Ray
cá gỗ,wooden
cá hộp,tuna
cá kho,Stew fish
cá mập,shark
cá mè,Tench
cá mòi,pilchard
cá ngựa,hippocampus
cá nhân,individual
cá ông,whale
cá sấu,crocodile
cá thể,individual
cá thu,mackerel
cá tính,personalities
cá trê,catfish
cạ,plain
các,the
cách,way
cách biệt,Far away
cách chức,dismiss
cách ly,isolation
cách mạng,Revolution
cách ngôn,aphorism
cách thức,method
cai,cai
cai quản,manage
cai trị,rule
cài,install
cải,false
cải biên,modified
cải cách,to revolutionize
cải chính,corrections
cải dạng,convert
cải danh,reputation
cải hóa,convert
cải hối,repentance
cải táng,reburied
cải tạo,Renovations
cải tiến,improve
cải tổ,reform
cải tử hoàn sinh,reform
cãi,argue
cãi bướng,argument
cãi lộn,quarrel
cái,female
cái ghẻ,scabies
cam,cam
cam chịu,suffer
cam đoan,assure
cam kết,commit
cam lòng,refrain
cam phận,commitment
cam thảo,licorice
cam tuyền,orange
cảm,cold
cảm động,moving
cảm giác,feeling
cảm hóa,inductive
cảm hoài,feel nostalgic
cảm hứng,inspiration
cảm mến,feel good
cảm phục,admire
cảm quan,sense
cảm tình,feeling
cảm tử,fell
cảm tưởng,feeling
cảm ứng,touch
cảm xúc,feeling
cám,bran
cám cảnh,scene
cám dỗ,temptation
cám ơn,thank you
cạm bẫy,Trap
can,can
can án,can
can chi,can chi
can đảm,brave
can phạm,accessory
can qua,can qua
can thiệp,intervention
can trường,Courageous
càn,welcome
càn quét,sweep
càn rỡ,wildly
cản,bumper
cản trở,hamper
cán,roll
cán bộ,cadre
cán cân,balance
cán sự,staff
cạn,shallow
càng,aside
cảng,port
cáng,stretcher
cáng đáng,The stretcher is worth
canh,broth
canh cánh,soup
canh gác,guard
canh giữ,custody
canh khuya,Late late
canh nông,agriculture
canh tác,culture
canh tân,reform
cành,branch
cảnh,scene
cảnh báo,warning
cảnh binh,scenery
cảnh cáo,warning
cảnh giác,alert
cảnh huống,circumstances
cảnh ngộ,situation
cảnh sát,cop
cảnh sắc,scenery
cảnh tỉnh,scene
cảnh tượng,spectacle
cánh,wing
cánh bèo,duckweed
cánh cửa,door
cánh đồng,field
cánh sinh,wing
cánh tay,arm
cạnh,edge
cạnh khóe,edge
cạnh tranh,compete
cao,cao
cao áp,high pressure
cao bay xa chạy,high flying
cao bồi,Cowboys
cao cả,lofty
cao cấp,high-class
cao cường,high intensity
cao danh,high name
cao đẳng,college
cao độ,high
cao hứng,highly inspired
cao kiến,Cao Kien
cao lâu,long -term
cao lương,Sago
cao minh,Cao Minh
cao ngạo,arrogant
cao nguyên,plateau
cao quý,Noble
cao siêu,subliminal
cao su,cao su
cao tăng,high -rise
cao thế,highly
cao thủ,master
cao thượng,Noble
cao ủy,high commissioner
cao vọng,high
cao xạ,radiation
cào,rake
cào cào,scratch
cảo bản,Capital
cáo,fox
cáo biệt,adieu
cáo cấp,fox
cáo chung,general
cáo giác,fox
cáo lỗi,fox
cáo phó,obituary
cáo thị,notification
cáo trạng,indictment
cáo từ,fox
cạo,shave
cạo giấy,shave
cáp,cable
cạp,waistband
cát,sand
cát cánh,sand
cát hung,Cat Hung
cát tường,lucky
cau,cau
cau có,scowl
cau mày,frown
càu nhàu,grumble
cáu,irrit
cáu kỉnh,stubborn
cáu tiết,secretive
cay,cay
cay đắng,gall
cay độc,cruel
cay nghiệt,cruel
cày,plow
cày bừa,plow
cày cấy,cultivate
cáy,fiddling
cạy,pry
cắc kè,chameleon
cặc,dick
căm,plug
căm căm,plug
căm hờn,hate
căm thù,hate
cằm,chin
cắm trại,camp
cặm,tough
cặm cụi,Tough
căn,base
căn bản,basic
căn cơ,base
căn cứ,base
căn cước,identity
căn dặn,cue
căn nguyên,leaven
căn tính,base
căn vặn,screw
cằn cỗi,barren
cằn nhằn,grouse
cắn,bite
cắn câu,bite
cắn cỏ,bite grass
cắn răng,grind teeth
cắn rứt,guilty
cắn xé,devour
cặn,scale
cặn bã,scum
cặn kẽ,carefulness
căng,tension
căng thẳng,stress
cẳng,leg
cẳng tay,arm
cắp,steal
cặp,bag
cặp đôi,couple
cặp kè,dating
cắt,cut
cắt bỏ,cut
cắt bớt,truncate
cắt đặt,cut
cắt ngang,interrupt
cắt nghĩa,explicate
cắt thuốc,cure
cắt xén,mutilation
câm,dumb
câm họng,shut up
cầm,hold
cầm ca,hold
cầm cái,hold
cầm canh,soup
cầm cập,update
cầm chắc,firmly
cầm chừng,perfunctorily
cầm cự,bestir
cầm đầu,head
cầm lái,helm
cầm lòng,refrain
cầm máu,hemostasis
cầm quyền,ruling
cầm sắt,grip
cầm thú,brute
cầm tù,detention
cẩm,Cam
cẩm chướng,Carnation
cẩm lai,Cam Lai
cẩm nang,Handbook
cẩm nhung,Cam Nhung
cẩm thạch,Jade
cẩm tú,hydrangeas
cấm,prohibit
cấm chỉ,ban
cấm cố,forbidden
cấm cửa,banning
cấm địa,forbidden area
cấm khẩu,palm
cấm thành,forbidden
cấm vận,embargo
cân,weigh
cân bàn,scales
cân bằng,balance
cân đối,symmetrical
cân não,no
cân nhắc,consider
cân xứng,symmetric
cần,need
cần cù,industrious
cần kiệm,economy
cần kíp,need crew
cần mẫn,hard work
cần thiết,"necessary, needs"
cần vụ,need the case
cần xé,Need to tear
cẩn,careful
cẩn bạch,Can Bach
cẩn mật,cautious
cấn,Can
cận,close
cận chiến,melee
cận đại,nearby
cận thị,short-sighted
cận vệ,guard
cấp,grant
cấp báo,newspapers
cấp cứu,emergency
cấp dưỡng,support
cấp hiệu,sign
cấp thời,level
cấp tiến,progressive
cập kê,update
cất,stored
cất giấu,hiding
cất nhắc,remind
cất tiếng,speak
cật,tough
cật lực,hard
cật vấn,interrogation
câu chấp,sentence
câu chuyện,story
câu đố,Riddle
câu đối,distich
câu hỏi,question
câu lạc bộ,club
câu thúc,chain
cầu,bridge
cầu an,Cau An
cầu cạnh,bridge
cầu chì,fuse
cầu cứu,Ask for help
cầu hôn,propose
cầu nguyện,pray
cầu thủ,football player
cầu tiêu,toilet
cầu tự,prayer
cầu vồng,rainbow
cầu xin,petition
cẩu,crane
cẩu thả,negligent
cấu,structure
cấu tạo,structure
cấu thành,constitutive
cậu,boy
cây,tree
cây cỏ,plants
cây nến,candle
cây số,km
cây viết,pen
cây xăng,gas station
cấy,implant
cậy,rely
cậy thế,so
cha,cha
cha đỡ đầu,Godfather
cha ghẻ,stepfather
cha mẹ,parents
chà,Rub
chà là,Well
chà xát,rub
chả,roll
chả giò,spring rolls
chác,trail
chạch,click
chai,chai
chài,fishing
chải,brush
chải chuốt,groom
chàm,indigo
chạm,touch
chạm trán,encounter
chan chứa,full
chán,bored
chán ghét,hate
chán nản,bored
chán vạn,Bored
chạn,haggard
chang chang,Chang Chang
chàng,guy
chàng hảng,guy
chàng hiu,guy
chạng vạng,Twilight
chanh,lemon
chanh chua,lemon
chánh,chief
chánh án,Judge
chạnh lòng,chill
chao,chao
chào,Hi
chào mời,invite
chảo,pan
chão,floor
cháo,porridge
chạo,pitch
chạp,lag
chát,acrid
cháu,grandchildren
cháu chắt,grandchildren
chay,chay
chày,pestle
chảy,run
cháy,on fire
cháy túi,burnt
chạy,run
chạy chọt,run
chạy chữa,run
chạy đua,race
chạy thoát,escape
chắc,sure
chắc mẩm,Probably mumbling
chắc nịch,stocky
chăm,hard
chăm chú,to focus
chăm nom,take care of
chăm sóc,take care of
chằm,stare
chằm chằm,stare
chặm,tough
chăn,blanket
chăn gối,blanket
chăn nuôi,breed
chẵn,even
chắn,block
chắn bùn,Fenders
chắn xích,chain
chăng,affordable
chăng lưới,Affordable net
chằng,tangled
chằng chịt,interlaced
chẳng,barely
chẳng bõ,not
chẳng hạn,such as
chẳng may,Unfortunately
chẳng những,not only
chẳng thà,rather
chặng,leg
chắp,join
chắp nhặt,grab
chặp,pattern
chắt,groove
chắt bóp,squeeze
chặt,chop
chặt chẽ,rigid
châm,enclose
châm biếm,Fleer
châm ngôn,Maxim
chấm,dot
chấm dứt,end
chấm phá,dot
chậm,slow
chậm chạp,slow
chậm tiến,Slow progress
chân,foot
chân dung,portrait
chân lý,truth
chân tài,truth
chân tình,truly love
chân trời,horizon
chân tướng,truth
chần,blanch
chần chừ,hesistant
chẩn,diagnose
chẩn mạch,explore
chấn chỉnh,rectify
chấn động,shock
chấn hưng,revive
chận,interrupt
chấp,challenge
chấp chính,rectification
chấp hành,executive
chấp nhận,accept
chấp thuận,acceptance
chập choạng,staggering
chập chờn,flicker
